Date,Open,High,Low,Close,Adj Close,Volume
2008-12-31,41.590000,43.049999,41.500000,42.669998,32.522282,5443100
2009-01-02,42.799999,45.560001,42.779999,45.250000,34.488712,7010200
2009-01-05,45.500000,46.810001,44.799999,46.169998,35.189907,6917400
2009-01-06,46.849998,47.000000,45.500000,46.310001,35.296627,7180300
2009-01-07,45.099998,45.610001,44.169998,44.759998,34.115246,6586200
2009-01-08,44.500000,44.900002,43.880001,44.790001,34.138100,5477000
2009-01-09,44.799999,45.150002,43.930000,44.450001,33.878960,5645100
2009-01-12,44.279999,44.450001,43.189999,43.740002,33.337803,4989200
2009-01-13,43.380001,43.619999,41.799999,42.459999,32.362232,6359400
2009-01-14,41.880001,41.980000,40.869999,41.200001,31.401869,7354900
2009-01-15,41.070000,41.599998,39.509998,40.959999,31.218950,8464900
2009-01-16,41.450001,43.049999,41.040001,42.459999,32.362232,9310800
2009-01-20,42.080002,42.740002,40.200001,40.360001,30.761637,9636800
2009-01-21,40.750000,42.400002,40.000000,42.270000,32.217419,6933100
2009-01-22,41.730000,42.750000,41.169998,42.259998,32.209782,6590800
2009-01-23,40.910000,42.840000,40.910000,41.980000,31.996370,5755600
2009-01-26,42.459999,43.770000,42.060001,43.009998,32.781429,4659200
2009-01-27,43.290001,43.959999,42.880001,43.220001,32.941479,5218900
2009-01-28,43.470001,44.400002,42.759998,43.240002,32.956734,8071100
2009-01-29,42.759998,42.759998,40.369999,40.709999,31.028400,8446500
2009-01-30,40.759998,42.490002,40.630001,42.310001,32.247898,9098000
2009-02-02,41.730000,41.730000,40.110001,40.799999,31.096996,8107400
2009-02-03,41.450001,42.430000,40.759998,42.090000,32.080208,7220800
2009-02-04,42.119999,42.970001,41.689999,41.970001,32.311172,6729000
2009-02-05,41.750000,43.110001,40.619999,42.720001,32.888565,9021100
2009-02-06,42.520000,43.669998,42.250000,42.919998,33.042534,6334200
2009-02-09,42.799999,43.419998,42.439999,42.799999,32.950157,5088300
2009-02-10,41.290001,42.230000,40.020000,40.209999,30.956207,9999200
2009-02-11,40.509998,40.759998,39.860001,40.330002,31.048601,6519300
2009-02-12,39.580002,39.990002,38.580002,39.860001,30.686768,6028900
2009-02-13,39.889999,41.189999,39.889999,40.480000,31.164078,5483500
2009-02-17,39.490002,39.740002,38.299999,38.430000,29.585863,6949100
2009-02-18,38.770000,38.770000,37.759998,37.980000,29.239422,6324500
2009-02-19,38.240002,38.700001,37.419998,37.570000,28.923769,5466700
2009-02-20,36.730000,37.200001,35.320000,36.310001,27.953741,10598900
2009-02-23,36.730000,36.790001,34.349998,34.459999,26.529497,9519200
2009-02-24,34.439999,35.830002,33.889999,35.439999,27.283964,10815100
2009-02-25,35.270000,35.270000,33.220001,33.910000,26.106070,11683900
2009-02-26,34.500000,34.619999,32.639999,32.709999,25.182238,8771600
2009-02-27,32.299999,32.369999,31.400000,31.440001,24.204508,11789000
2009-03-02,30.959999,31.000000,29.320000,29.510000,22.718676,13956800
2009-03-03,29.700001,30.110001,29.049999,29.360001,22.603191,10433300
2009-03-04,29.860001,30.780001,29.110001,30.309999,23.334566,11627500
2009-03-05,29.219999,30.020000,29.070000,29.389999,22.626295,11675700
2009-03-06,29.610001,30.200001,29.389999,30.100000,23.172895,13134300
2009-03-09,29.980000,31.459999,29.959999,31.000000,23.865768,12407200
2009-03-10,31.420000,33.020000,31.320000,33.009998,25.413191,11501700
