Date,Open,High,Low,Close,Adj Close,Volume
2008-12-31,15.820000,16.340000,15.770000,16.200001,11.348739,60298400
2009-01-02,16.510000,17.070000,16.270000,17.070000,11.958211,57112100
2009-01-05,17.170000,17.240000,16.500000,16.629999,11.649972,72526800
2009-01-06,16.860001,16.980000,16.459999,16.860001,11.811093,71187500
2009-01-07,16.670000,16.700001,16.010000,16.110001,11.285689,70807700
2009-01-08,16.049999,16.200001,15.720000,16.139999,11.306707,62139500
2009-01-09,16.209999,16.389999,15.830000,16.000000,11.208632,53153300
2009-01-12,15.970000,16.200001,15.680000,15.830000,11.089539,65366500
2009-01-13,15.650000,15.690000,14.720000,14.940000,10.466060,129101400
2009-01-14,14.590000,14.640000,14.020000,14.110000,9.884611,100750600
2009-01-15,14.080000,14.140000,13.250000,13.770000,9.646427,140464400
2009-01-16,14.200000,14.340000,13.060000,13.960000,9.779531,128992900
2009-01-20,13.950000,14.090000,12.800000,12.930000,9.057975,118771800
2009-01-21,11.880000,13.230000,11.880000,13.030000,9.128028,147443700
2009-01-22,12.390000,13.560000,12.070000,13.480000,9.443270,151556700
2009-01-23,12.690000,13.190000,11.870000,12.030000,8.427487,326452700
2009-01-26,12.480000,12.650000,12.170000,12.420000,8.700699,124256800
2009-01-27,12.730000,13.190000,12.650000,13.060000,9.149045,119281300
2009-01-28,13.310000,13.750000,13.170000,13.500000,9.457281,115415400
2009-01-29,13.330000,13.350000,12.690000,12.720000,8.910863,79385900
2009-01-30,12.720000,12.800000,12.010000,12.130000,8.497544,111388900
2009-02-02,12.030000,12.030000,11.510000,11.620000,8.140266,140524700
2009-02-03,11.880000,11.880000,11.320000,11.370000,7.965134,125949900
2009-02-04,11.560000,11.780000,11.190000,11.260000,7.888074,103109700
2009-02-05,11.090000,11.280000,10.660000,10.850000,7.600856,194796300
2009-02-06,10.900000,11.450000,10.750000,11.100000,7.775990,218787600
2009-02-09,11.340000,12.900000,11.120000,12.640000,8.854816,232937400
2009-02-10,12.540000,12.640000,11.360000,11.620000,8.140266,196306000
2009-02-11,11.950000,12.050000,11.710000,11.940000,8.364440,87560100
2009-02-12,11.750000,11.750000,11.200000,11.680000,8.182300,132083900
2009-02-13,11.550000,11.740000,11.350000,11.440000,8.014170,86595000
2009-02-17,11.200000,11.200000,10.710000,10.810000,7.572831,133780600
2009-02-18,11.070000,11.150000,10.680000,10.860000,7.607857,95278500
2009-02-19,10.940000,10.980000,9.950000,10.060000,7.254507,156967800
2009-02-20,9.710000,9.840000,8.980000,9.380000,6.764141,324897100
2009-02-23,9.580000,9.600000,8.780000,8.850000,6.381949,224010400
2009-02-24,8.950000,9.260000,8.430000,9.080000,6.547807,261491600
2009-02-25,9.090000,9.460000,8.710000,9.010000,6.497327,191828800
2009-02-26,9.280000,9.750000,9.010000,9.100000,6.562230,155327900
2009-02-27,8.600000,9.200000,8.400000,8.510000,6.136766,320707200
2009-03-02,8.290000,8.300000,7.510000,7.600000,5.480542,295776400
2009-03-03,7.840000,7.890000,6.850000,7.010000,5.055079,414437200
2009-03-04,7.240000,7.250000,5.870000,6.690000,4.824321,752904400
2009-03-05,6.750000,7.170000,6.530000,6.660000,4.802687,445315100
2009-03-06,7.000000,7.250000,6.660000,7.060000,5.091135,319456000
2009-03-09,6.950000,7.830000,6.880000,7.410000,5.343529,265046000
2009-03-10,8.010000,8.990000,7.950000,8.870000,6.396369,368705700
2009-03-11,9.230000,9.360000,8.310000,8.490000,6.122342,251329800
