Date,Open,High,Low,Close,Adj Close,Volume
2008-12-31,2.080000,2.252000,2.072000,2.244000,2.244000,0
2009-01-02,2.203000,2.417000,2.159000,2.416000,2.416000,0
2009-01-05,2.485000,2.520000,2.409000,2.488000,2.488000,0
2009-01-06,2.557000,2.614000,2.467000,2.505000,2.505000,0
2009-01-07,2.474000,2.537000,2.455000,2.494000,2.494000,0
2009-01-08,2.441000,2.494000,2.408000,2.445000,2.445000,0
2009-01-09,2.446000,2.501000,2.348000,2.407000,2.407000,0
2009-01-12,2.423000,2.449000,2.308000,2.309000,2.309000,0
2009-01-13,2.309000,2.346000,2.296000,2.297000,2.297000,0
2009-01-14,2.277000,2.277000,2.163000,2.213000,2.213000,0
2009-01-15,2.184000,2.234000,2.166000,2.201000,2.201000,0
2009-01-16,2.352000,2.399000,2.259000,2.304000,2.304000,0
2009-01-20,2.385000,2.497000,2.332000,2.345000,2.345000,0
2009-01-21,2.434000,2.526000,2.405000,2.526000,2.526000,0
2009-01-22,2.508000,2.637000,2.486000,2.594000,2.594000,0
2009-01-23,2.588000,2.681000,2.579000,2.622000,2.622000,0
2009-01-26,2.660000,2.688000,2.608000,2.643000,2.643000,0
2009-01-27,2.608000,2.644000,2.519000,2.519000,2.519000,0
2009-01-28,2.558000,2.661000,2.505000,2.656000,2.656000,0
2009-01-29,2.675000,2.816000,2.659000,2.815000,2.815000,0
2009-01-30,2.831000,2.856000,2.756000,2.844000,2.844000,0
2009-02-02,2.833000,2.845000,2.702000,2.719000,2.719000,0
2009-02-03,2.763000,2.861000,2.750000,2.842000,2.842000,0
2009-02-04,2.848000,2.957000,2.848000,2.914000,2.914000,0
2009-02-05,2.908000,2.949000,2.857000,2.900000,2.900000,0
2009-02-06,2.908000,3.001000,2.897000,2.979000,2.979000,0
2009-02-09,2.993000,3.054000,2.993000,3.027000,3.027000,0
2009-02-10,2.956000,2.956000,2.810000,2.847000,2.847000,0
2009-02-11,2.829000,2.835000,2.727000,2.762000,2.762000,0
2009-02-12,2.772000,2.835000,2.718000,2.727000,2.727000,0
2009-02-13,2.788000,2.899000,2.775000,2.882000,2.882000,0
2009-02-17,2.763000,2.763000,2.655000,2.662000,2.662000,0
2009-02-18,2.628000,2.757000,2.628000,2.728000,2.728000,0
2009-02-19,2.804000,2.879000,2.779000,2.857000,2.857000,0
2009-02-20,2.779000,2.806000,2.685000,2.772000,2.772000,0
2009-02-23,2.855000,2.875000,2.768000,2.777000,2.777000,0
2009-02-24,2.777000,2.804000,2.689000,2.799000,2.799000,0
2009-02-25,2.806000,2.947000,2.801000,2.945000,2.945000,0
2009-02-26,2.991000,3.022000,2.956000,2.978000,2.978000,0
