Date,AXP,WMT,UNH,AAPL,VZ
2008-12-31,17.969998999999998,55.27,27.059998999999998,12.281428,31.119158000000002
2009-01-02,18.57,55.98,26.700001,12.268572,32.000774
2009-01-05,19.200001,56.959998999999996,27.4,13.31,31.606859000000004
2009-01-06,20.299999,56.610001000000004,27.110001,13.707142999999999,30.650213
2009-01-07,20.530001000000002,55.490002000000004,26.709999,13.115714,29.843628000000002
2009-01-08,19.799999,51.310001,26.1,12.918571,29.881144
2009-01-09,20.16,51.580002,26.75,13.315714000000002,30.481392
2009-01-12,19.01,51.5,26.58,12.922857,30.218784000000003
2009-01-13,18.639999,51.59,24.92,12.605714,29.824871
2009-01-14,18.43,51.279999,24.700001,12.32,29.205864000000002
2009-01-15,18.18,51.560001,24.059998999999998,11.51,28.286732
2009-01-16,17.870001000000002,51.900002,25.389999,12.042857000000001,28.661888
2009-01-20,16.84,51.41,25.41,11.704286,28.117912
2009-01-21,16.35,50.220001,24.209999,11.341429,28.371140999999998
2009-01-22,16.33,48.939999,25.440001000000002,12.577143,28.821329
2009-01-23,15.2,48.09,27.17,12.402857000000001,27.920956
2009-01-26,15.57,48.639998999999996,28.16,12.694285,28.455553000000002
2009-01-27,16.09,48.950001,28.27,12.884286,27.855303000000003
2009-01-28,17.799999,49.509997999999996,29.610001,13.16,28.136669
2009-01-29,17.26,48.560001,29.68,13.298572,28.924498
2009-01-30,16.940001000000002,48.0,28.76,13.228572,28.3899
2009-02-02,16.35,46.57,28.0,12.728572,28.3899
2009-02-03,17.07,47.029999,29.610001,13.131429,29.318410999999998
2009-02-04,16.190001000000002,46.889998999999996,29.799999,13.317142,29.684186999999998
2009-02-05,16.4,47.169998,28.66,13.252857,28.089775
2009-02-06,17.35,48.84,28.77,13.86,29.374683
2009-02-09,17.91,49.560001,29.620001000000002,14.285714000000002,29.984312
2009-02-10,17.5,49.0,29.27,14.475715,29.355927
2009-02-11,16.299999,47.98,27.799999,13.767142999999999,28.464931
2009-02-12,15.91,47.98,27.799999,13.69,27.930334000000002
2009-02-13,16.049999,47.75,29.42,14.141429,27.883440000000004
2009-02-17,14.93,47.529999,28.190001000000002,13.838572000000001,27.001822999999998
2009-02-18,14.11,48.939999,28.440001000000002,13.578570999999998,26.682940999999996
2009-02-19,14.26,49.439999,28.58,13.338572000000001,26.720457
2009-02-20,12.59,49.990002000000004,28.129998999999998,12.771428,25.904493
2009-02-23,13.27,50.349998,26.6,13.092857,27.217539000000002
2009-02-24,12.3,48.779999,23.77,12.492857,26.260893
2009-02-25,13.44,48.970001,24.1,12.837143,26.711078999999998
2009-02-26,13.62,49.509997999999996,23.34,13.142857999999999,27.058097999999998
2009-02-27,12.15,47.869999,20.190001000000002,12.561428999999999,26.504744
2009-03-02,11.68,48.810001,19.190001000000002,12.588572000000001,26.317165000000003
2009-03-03,11.27,48.34,17.74,12.704286,25.801327
2009-03-04,12.13,47.959998999999996,18.110001,12.882857000000001,26.045177
2009-03-05,11.27,50.349998,17.52,12.922857,25.848221
2009-03-06,10.66,50.150002,16.57,12.62,26.223377000000003
2009-03-09,9.99,48.560001,17.67,12.025714,25.294867
2009-03-10,11.14,47.610001000000004,17.639999,12.124286,24.994741
2009-03-11,11.58,48.66,19.42,12.83,26.260893
2009-03-12,11.76,47.869999,19.030001000000002,13.271428,25.735674
2009-03-13,13.14,48.669998,20.51,13.757143,26.532878999999998
2009-03-16,13.36,49.34,21.629998999999998,13.79,26.908034999999998
2009-03-17,12.37,48.900002,21.110001,13.605714,26.720457
2009-03-18,12.83,48.950001,21.32,14.272857,27.742756
2009-03-19,14.31,50.799999,22.290001,14.55,28.886982
2009-03-20,13.19,50.139998999999996,21.709999,14.584285999999999,28.539963
2009-03-23,13.0,50.279999,21.200001,14.672857,28.324246999999996
2009-03-24,13.82,51.0,21.68,15.194285,29.112074
2009-03-25,13.55,51.27,21.290001,15.368571,28.811951
2009-03-26,14.11,52.060001,21.17,15.404285,28.549341
2009-03-27,14.51,52.360001000000004,21.299999,15.461429,28.493069000000002
2009-03-30,13.78,52.0,20.450001,14.93,28.343006
2009-03-31,13.17,52.040001000000004,20.85,15.064285,28.643129
2009-04-01,13.34,51.380001,20.610001,14.87,28.005365
2009-04-02,15.26,53.34,21.17,15.734285,29.740459
2009-04-03,14.8,53.700001,21.049999,16.312857,30.528288
2009-04-06,15.08,53.41,20.33,16.42,30.584559999999996
2009-04-07,15.12,52.959998999999996,21.4,16.647142000000002,30.321951000000002
2009-04-08,15.14,52.66,24.120001000000002,16.49,29.918659
2009-04-09,16.49,50.040001000000004,23.559998999999998,16.917143,30.087479
2009-04-13,19.18,50.799999,24.120001000000002,17.144285,29.806112
2009-04-14,19.93,51.200001,24.18,17.081429,29.459093
2009-04-15,17.85,50.759997999999996,24.34,16.742857,29.262135999999998
2009-04-16,20.379998999999998,51.299999,25.32,17.027143,29.824871
2009-04-17,20.67,51.189999,24.32,17.311428,29.984312
2009-04-20,20.75,50.09,23.52,17.389999,29.684186999999998
2009-04-21,18.030001000000002,49.66,25.379998999999998,16.984285,28.905739
2009-04-22,18.75,49.59,22.860001,17.518572,29.102695
2009-04-23,19.93,49.0,23.1,18.088572,29.140210999999997
2009-04-24,22.690001000000002,48.82,23.43,17.805714000000002,29.196486
2009-04-27,24.24,47.759997999999996,23.200001,17.557142000000002,28.933876
2009-04-28,23.620001000000002,48.279999,23.0,17.621429,28.896359999999998
2009-04-29,24.370001000000002,48.849998,24.049999,17.835714000000003,29.121453999999996
2009-04-30,25.719998999999998,50.84,24.4,18.031429,28.830708
2009-05-01,24.940001000000002,50.5,23.559998999999998,17.971428,28.47431
2009-05-04,24.559998999999998,50.209998999999996,22.98,18.32,28.905739
2009-05-05,26.9,50.669998,23.620001000000002,18.821428,29.083939
2009-05-06,27.27,50.669998,25.74,19.047142,28.708782
2009-05-07,28.27,50.860001000000004,25.799999,18.904285,28.708782
2009-05-08,26.16,50.400002,28.74,18.434286,28.230459000000003
2009-05-11,27.27,49.970001,28.26,18.195715,28.042881
2009-05-12,26.33,50.880001,27.059998999999998,18.508572,28.136669
2009-05-13,24.690001000000002,50.299999,27.07,17.601429,28.596234999999997
2009-05-14,24.01,50.099998,27.67,17.111429,27.96785
2009-05-15,24.709999,48.959998999999996,27.74,17.474285000000002,28.202322
2009-05-18,24.790001,48.799999,27.690001000000002,17.675714000000003,27.911577
2009-05-19,26.01,49.919998,27.709999,18.117144,27.939713
2009-05-20,25.32,49.759997999999996,27.68,18.232857,27.96785
2009-05-21,23.66,48.810001,27.360001,17.878571,27.733377
2009-05-22,24.0,49.369999,26.950001,17.721428,27.37698
2009-05-26,23.209999,49.18,26.209999,17.822857,26.898657
2009-05-27,24.75,50.240002000000004,26.950001,18.825714,27.808409
2009-05-28,23.860001,49.509997999999996,27.459999,19.064285,27.311327000000002
2009-05-29,24.48,49.900002,27.27,19.341429,27.55518
2009-06-01,25.549999,50.18,26.9,19.495714000000003,27.695861999999998
2009-06-02,24.799999,50.380001,27.719998999999998,19.855715,27.480148
2009-06-03,24.719998999999998,49.75,27.290001,20.0,27.677104999999997
2009-06-04,24.629998999999998,50.830002,27.73,20.018572,27.836546000000002
2009-06-05,25.6,51.119999,27.629998999999998,20.758572,27.958471000000003
2009-06-08,24.59,50.990002000000004,26.99,20.545713,27.339464000000003
2009-06-09,26.049999,50.860001000000004,26.379998999999998,20.544285000000002,27.573936
2009-06-10,27.15,50.810001,26.02,20.325714,27.677104999999997
2009-06-11,26.639999,50.049999,23.75,19.935715,27.658346
2009-06-12,25.389999,49.349998,23.799999,19.83,27.845924
2009-06-15,24.959999,49.099998,24.01,19.43,27.986609
2009-06-16,25.370001000000002,48.509997999999996,23.65,19.522858,28.005365
2009-06-17,24.549999,48.299999,24.030001000000002,19.524286,27.742756
2009-06-18,24.059998999999998,48.650002,24.08,19.444285999999998,28.146048999999998
2009-06-19,24.42,49.049999,25.93,19.724285000000002,28.530582
2009-06-22,24.32,48.099998,25.09,20.095715,27.695861999999998
2009-06-23,23.23,48.720001,24.49,19.485714,28.230459000000003
2009-06-24,23.58,48.5,24.6,19.345715,28.896359999999998
2009-06-25,22.610001,48.439999,24.639999,19.392857,28.811951
2009-06-26,24.33,49.040001000000004,24.93,19.969998999999998,29.074558000000003
2009-06-29,23.9,48.709998999999996,24.799999,20.494286,29.074558000000003
2009-06-30,23.99,48.860001000000004,25.01,20.368572,29.48723
2009-07-01,23.49,48.549999,25.09,20.5,28.915117
2009-07-02,22.74,48.259997999999996,24.93,20.178572,28.577478000000003
2009-07-06,22.190001000000002,47.740002000000004,23.91,19.814285,28.164806
2009-07-07,23.450001,47.900002,24.049999,19.782857999999997,28.502446999999997
2009-07-08,22.530001000000002,48.110001000000004,25.26,19.417143,27.573936
2009-07-09,23.059998999999998,48.799999,24.879998999999998,19.68,27.029961
2009-07-10,22.6,47.939999,24.9,19.477142,26.711078999999998
2009-07-13,23.549999,47.599998,24.719998999999998,19.934286,26.842382
2009-07-14,24.4,47.860001000000004,25.57,20.290001,27.217539000000002
2009-07-15,24.82,48.349998,25.059998999999998,20.719998999999998,27.301949
2009-07-16,26.969998999999998,48.349998,24.799999,20.822857,27.517664
2009-07-17,28.040001,48.610001000000004,25.26,21.297142,27.742756
2009-07-20,28.280001000000002,48.66,25.25,21.895714,27.845924
2009-07-21,29.02,48.91,25.48,21.898571,28.117912
2009-07-22,28.91,48.799999,25.610001,22.54143,28.483688
2009-07-23,28.99,49.18,26.25,22.375713,28.530582
2009-07-24,28.6,48.810001,27.23,22.421429,29.393441999999997
2009-07-27,29.49,49.099998,27.09,22.881428,29.355927
2009-07-28,28.0,48.759997999999996,27.780001000000002,22.697144,28.962013
2009-07-29,27.379998999999998,48.919998,28.530001000000002,22.700001,29.318410999999998
2009-07-30,28.27,49.549999,28.84,23.1,30.162509999999997
2009-07-31,28.040001,50.049999,28.08,23.284285999999998,30.237540999999997
2009-08-03,28.9,50.220001,28.34,23.601429,30.359467
2009-08-04,28.49,49.610001000000004,27.190001000000002,23.561428,30.068721999999998
2009-08-05,28.85,49.939999,26.879998999999998,23.678572,29.909281
2009-08-06,31.6,49.25,26.27,23.654285,29.402821000000003
2009-08-07,32.060001,49.279999,26.08,23.641428,29.299652000000002
2009-08-10,32.509997999999996,49.380001,26.469998999999998,23.665714,29.102695
2009-08-11,32.27,49.709998999999996,27.059998999999998,23.384285000000002,28.933876
2009-08-12,31.23,50.099998,27.76,23.221428,28.802570000000003
2009-08-13,31.889999,51.830002,27.639999,23.807142000000002,29.327789000000003
2009-08-14,31.969998999999998,51.869999,28.08,23.991428,29.112074
2009-08-17,30.74,51.299999,27.719998999999998,23.364286,28.830708
