Date,Open,High,Low,Close,Adj Close,Volume
2008-12-31,83.500000,85.000000,83.500000,84.160004,62.595646,6667700
2009-01-02,83.889999,87.589996,83.889999,87.370003,64.983162,7558200
2009-01-05,86.419998,87.669998,86.180000,86.820000,64.574081,8315700
2009-01-06,87.110001,90.410004,86.370003,89.230003,66.366547,9649500
2009-01-07,87.830002,88.800003,87.120003,87.790001,65.295525,8455100
2009-01-08,87.809998,88.139999,85.980003,87.180000,64.841827,7231800
2009-01-09,87.050003,87.500000,84.250000,84.699997,62.997295,7440300
2009-01-12,84.570000,86.599998,84.419998,85.709999,63.748470,8072700
2009-01-13,85.500000,86.589996,84.790001,85.339996,63.473320,7657200
2009-01-14,84.199997,84.820000,82.110001,83.190002,61.874187,9470000
2009-01-15,83.610001,84.830002,82.260002,84.120003,62.565903,11734800
2009-01-16,84.610001,85.739998,83.080002,84.919998,63.160900,11245300
2009-01-20,84.760002,84.919998,81.760002,81.980003,60.974236,13800100
2009-01-21,86.290001,91.599998,86.000000,91.419998,67.995407,24905000
2009-01-22,89.830002,90.739998,88.110001,90.070000,66.991333,12350700
2009-01-23,88.400002,90.699997,87.809998,89.489998,66.559937,10253700
2009-01-26,89.769997,92.669998,89.519997,91.599998,68.129288,9840800
2009-01-27,91.769997,91.970001,90.500000,91.660004,68.173912,8720800
2009-01-28,92.699997,94.940002,91.910004,94.820000,70.524216,13407200
2009-01-29,93.580002,94.580002,92.019997,92.510002,68.806152,9233500
2009-01-30,92.230003,93.480003,91.250000,91.650002,68.166512,9617000
2009-02-02,90.599998,91.860001,89.690002,90.930000,67.630989,9926400
2009-02-03,91.070000,93.730003,90.160004,93.480003,69.527596,8864500
2009-02-04,93.739998,94.910004,91.820000,92.830002,69.044136,10189800
2009-02-05,92.129997,93.199997,91.220001,92.410004,68.731766,11622900
2009-02-06,92.510002,97.099998,91.650002,96.139999,71.895020,13055900
2009-02-09,95.930000,96.980003,94.720001,96.820000,72.403534,8165800
2009-02-10,95.580002,96.820000,92.959999,93.269997,69.748787,13541300
2009-02-11,93.480003,95.769997,93.000000,95.160004,71.162155,10765700
2009-02-12,94.410004,95.199997,92.199997,95.070000,71.094849,9917700
2009-02-13,94.790001,95.180000,93.570000,93.839996,70.175056,6742400
2009-02-17,91.730003,92.489998,90.500000,90.669998,67.804451,8903500
2009-02-18,91.169998,92.250000,90.440002,91.510002,68.432617,8492600
2009-02-19,91.059998,92.160004,88.449997,88.930000,66.503258,12622700
2009-02-20,88.050003,89.900002,87.339996,88.790001,66.398582,12400700
2009-02-23,89.300003,89.330002,84.190002,84.370003,63.093235,13509600
2009-02-24,84.629997,87.080002,84.099998,86.400002,64.611282,12915300
2009-02-25,86.000000,87.120003,82.849998,85.900002,64.237389,12646400
2009-02-26,86.849998,90.199997,86.330002,88.970001,66.533180,17423200
2009-02-27,88.120003,93.279999,88.010002,92.029999,68.821487,21311200
2009-03-02,91.169998,91.900002,88.750000,89.050003,66.593018,15231700
2009-03-03,90.160004,90.180000,87.190002,87.769997,65.635788,13744100
2009-03-04,88.970001,91.239998,87.599998,89.489998,66.922028,15391700
2009-03-05,88.129997,90.160004,87.019997,87.480003,65.418922,14930100
2009-03-06,87.470001,88.250000,83.809998,85.809998,64.170059,15186000
2009-03-09,84.699997,86.800003,83.019997,83.480003,62.427673,13151800
2009-03-10,85.110001,87.250000,83.639999,87.250000,65.246933,15914800
2009-03-11,87.510002,89.540001,86.720001,88.620003,66.271454,11823900
2009-03-12,88.589996,90.599998,87.489998,90.400002,67.602539,11829200
2009-03-13,90.400002,90.650002,89.290001,90.360001,67.572632,9111900
2009-03-16,91.650002,93.000000,90.540001,91.220001,68.215759,11793700
2009-03-17,91.110001,92.910004,90.449997,92.910004,69.479568,11489700
2009-03-18,89.459999,92.900002,89.410004,91.949997,68.761658,17954300
2009-03-19,92.839996,93.349998,91.510002,92.660004,69.292618,9899300
2009-03-20,93.160004,95.000000,92.180000,92.510002,69.180466,12193900
2009-03-23,93.699997,98.709999,93.699997,98.709999,73.816879,12407200
2009-03-24,97.690002,99.550003,97.519997,98.300003,73.510307,9346700
2009-03-25,98.470001,99.860001,96.089996,97.949997,73.248543,12017000
2009-03-26,98.470001,99.199997,97.750000,98.779999,73.869247,11434600
2009-03-27,95.989998,96.000000,92.750000,94.150002,70.406853,15745200
2009-03-30,92.000000,94.739998,91.800003,94.519997,70.683563,10964000
2009-03-31,94.959999,98.660004,94.849998,96.889999,72.455872,14553700
2009-04-01,96.129997,98.000000,95.699997,97.610001,72.994278,12212900
2009-04-02,99.150002,101.989998,98.379997,100.820000,75.394783,16219000
2009-04-03,99.730003,102.660004,99.709999,102.220001,76.441727,10962900
2009-04-06,100.900002,101.849998,100.000000,101.559998,75.948158,8819800
2009-04-07,100.169998,100.500000,98.519997,98.750000,73.846817,8768400
2009-04-08,99.449997,101.550003,99.000000,101.190002,75.671478,7285200
2009-04-09,102.010002,102.449997,100.250000,101.699997,76.052856,8013700
2009-04-13,100.279999,101.650002,99.040001,99.949997,74.744202,7797200
2009-04-14,99.080002,99.949997,98.269997,99.269997,74.235657,6276700
2009-04-15,98.230003,99.059998,96.440002,98.849998,73.921600,8164200
2009-04-16,99.739998,101.919998,99.180000,101.430000,75.850990,9259500
2009-04-17,101.180000,102.040001,99.690002,101.269997,75.731277,10214200
2009-04-20,100.290001,101.190002,99.209999,100.430000,75.103134,12524700
2009-04-21,98.410004,102.480003,98.199997,102.309998,76.509033,15226700
2009-04-22,101.169998,103.860001,101.059998,102.550003,76.688492,12120000
2009-04-23,102.650002,102.779999,99.800003,101.419998,75.843460,9440400
2009-04-24,101.169998,101.580002,99.500000,100.080002,74.841408,10157500
2009-04-27,99.610001,101.690002,99.290001,99.949997,74.744202,8611400
2009-04-28,99.360001,102.730003,99.250000,101.940002,76.232368,11110500
2009-04-29,101.980003,105.000000,101.669998,104.040001,77.802765,9783700
2009-04-30,104.550003,106.050003,102.849998,103.209999,77.182076,10654500
2009-05-01,103.779999,104.860001,102.940002,104.610001,78.229012,6234200
2009-05-04,105.260002,106.750000,104.610001,106.190002,79.410561,8313900
2009-05-05,106.000000,106.820000,105.510002,105.849998,79.156296,6750000
2009-05-06,105.230003,105.500000,103.709999,104.620003,78.645142,7530900
2009-05-07,104.650002,104.800003,101.830002,102.589996,77.119141,8521400
2009-05-08,103.580002,103.750000,99.830002,101.489998,76.292229,11575500
2009-05-11,101.089996,103.879997,100.949997,102.900002,77.352150,8253000
2009-05-12,102.980003,104.379997,102.370003,103.940002,78.133980,7961600
2009-05-13,102.879997,103.099998,101.349998,102.260002,76.871048,8202100
2009-05-14,101.720001,102.709999,100.769997,101.050003,75.961479,9445100
2009-05-15,100.900002,103.070000,100.570000,101.370003,76.202057,8367400
2009-05-18,102.000000,104.709999,101.940002,104.580002,78.615082,7429500
2009-05-19,104.330002,106.120003,104.000000,105.510002,79.314163,7079200
2009-05-20,105.510002,105.980003,103.809998,104.050003,78.216667,7083100
2009-05-21,103.070000,103.250000,101.739998,102.820000,77.292023,7411500
2009-05-22,102.669998,103.309998,101.750000,101.889999,76.592926,5596200
2009-05-26,101.320000,105.629997,101.019997,105.019997,78.945808,7211200
2009-05-27,104.339996,105.169998,102.910004,102.930000,77.374710,7119600
2009-05-28,103.339996,105.139999,102.680000,104.690002,78.697746,6127500
2009-05-29,104.470001,106.500000,103.949997,106.279999,79.892975,6871800
2009-06-01,106.940002,108.669998,106.669998,108.370003,81.464104,7725000
2009-06-02,107.510002,108.800003,106.660004,106.830002,80.306450,7045800
2009-06-03,106.529999,106.599998,105.110001,106.489998,80.050850,7688000
2009-06-04,106.169998,106.870003,105.599998,106.330002,79.930580,5468500
2009-06-05,107.330002,108.400002,106.750000,107.239998,80.614655,7665000
2009-06-08,106.639999,107.980003,105.500000,107.489998,80.802582,6363800
2009-06-09,108.150002,109.139999,107.989998,108.139999,81.291191,8585900
2009-06-10,109.199997,109.279999,107.050003,108.349998,81.449059,7578100
2009-06-11,108.750000,110.639999,108.559998,109.400002,82.238380,9134300
2009-06-12,108.400002,109.279999,107.750000,108.209999,81.343803,7250900
2009-06-15,107.629997,108.830002,107.239998,107.620003,80.900307,8567600
2009-06-16,108.470001,109.139999,107.269997,107.320000,80.674782,7231000
2009-06-17,107.459999,107.879997,106.879997,107.000000,80.434250,7366200
2009-06-18,106.930000,107.529999,106.120003,106.330002,79.930580,6206900
2009-06-19,106.309998,106.650002,105.500000,105.889999,79.599831,13559000
2009-06-22,105.180000,105.879997,104.230003,104.519997,78.569969,7295400
2009-06-23,104.750000,104.870003,103.790001,104.440002,78.509819,5152600
2009-06-24,105.389999,106.480003,103.720001,104.150002,78.291847,6395200
2009-06-25,103.699997,106.790001,103.510002,106.059998,79.727615,6900600
2009-06-26,106.500000,106.500000,105.050003,105.680000,79.441933,5127900
2009-06-29,105.989998,106.180000,105.160004,105.830002,79.554733,4681800
2009-06-30,105.690002,106.029999,103.809998,104.419998,78.494797,7512600
2009-07-01,105.000000,106.269997,104.730003,104.839996,78.810516,5537300
2009-07-02,103.800003,103.910004,101.730003,101.730003,76.472649,7026700
2009-07-06,101.570000,102.230003,100.470001,101.650002,76.412521,6522500
2009-07-07,101.339996,101.959999,100.029999,100.190002,75.315010,6685600
2009-07-08,100.290001,101.169998,99.500000,100.680000,75.683350,7380800
2009-07-09,101.120003,102.779999,100.849998,102.080002,76.735756,6153200
2009-07-10,100.970001,101.720001,99.800003,100.830002,75.796112,7465900
2009-07-13,101.279999,103.650002,100.190002,103.620003,77.893425,9494300
2009-07-14,103.419998,103.620003,102.519997,103.250000,77.615265,5413500
2009-07-15,104.750000,107.220001,104.599998,107.220001,80.599640,8699100
2009-07-16,106.839996,110.970001,106.790001,110.639999,83.170517,14997900
2009-07-17,113.410004,115.529999,113.160004,115.419998,86.763718,20188900
2009-07-20,114.529999,116.879997,114.389999,116.440002,87.530479,10682500
2009-07-21,115.870003,117.040001,115.379997,117.040001,87.981537,8301700
2009-07-22,116.180000,117.199997,115.089996,115.570000,86.876480,8813400
2009-07-23,115.059998,118.000000,115.059998,117.059998,87.996567,8461400
2009-07-24,116.680000,118.150002,116.629997,117.639999,88.432564,6261000
2009-07-27,116.949997,117.919998,116.570000,117.629997,88.425034,5069200
2009-07-28,116.629997,117.519997,116.339996,117.279999,88.161934,5782900
2009-07-29,116.360001,117.279999,116.050003,117.260002,88.146919,5100900
2009-07-30,118.000000,119.370003,117.669998,117.860001,88.597946,6803100
2009-07-31,117.559998,118.989998,117.559998,117.930000,88.650551,5329600
2009-08-03,118.879997,119.959999,118.690002,119.919998,90.146484,6108200
2009-08-04,119.169998,119.800003,119.019997,119.599998,89.905930,4993500
2009-08-05,118.519997,119.000000,117.860001,118.470001,89.056473,5025800
2009-08-06,118.309998,118.400002,116.699997,117.379997,88.648666,6003100
2009-08-07,118.110001,119.910004,118.110001,119.330002,90.121346,5763200
2009-08-10,118.169998,119.190002,117.970001,118.699997,89.645538,3981300
2009-08-11,118.029999,118.500000,117.320000,117.790001,88.958305,4844500
2009-08-12,117.599998,119.959999,117.419998,119.290001,90.091125,6289700
2009-08-13,119.279999,119.779999,118.629997,119.580002,90.310188,5489200
2009-08-14,119.290001,119.739998,117.620003,118.570000,89.547379,4796400
2009-08-17,116.690002,117.440002,116.209999,116.860001,88.255951,5349600
2009-08-18,116.809998,118.000000,116.730003,117.629997,88.837448,4286200
2009-08-19,116.360001,118.769997,116.120003,118.570000,89.547379,4837900
2009-08-20,118.440002,119.410004,118.099998,118.949997,89.834366,4841700
2009-08-21,119.650002,120.010002,118.550003,119.900002,90.551842,8306800
2009-08-24,119.919998,120.879997,119.099998,119.320000,90.113800,6363400
2009-08-25,119.250000,120.150002,118.709999,118.830002,89.743736,4652200
2009-08-26,118.639999,119.849998,117.510002,119.470001,90.227089,4515500
2009-08-27,118.730003,119.589996,117.849998,119.430000,90.196884,4356900
2009-08-28,120.099998,120.230003,117.769997,118.220001,89.283043,6235700
2009-08-31,117.099998,118.059998,116.919998,118.050003,89.154648,5439400
2009-09-01,117.669998,118.930000,116.500000,116.690002,88.127548,6303800
2009-09-02,116.339996,117.239998,116.000000,116.089996,87.674393,5178800
2009-09-03,116.550003,116.730003,115.150002,116.330002,87.855675,4936200
2009-09-04,116.580002,117.500000,116.209999,117.459999,88.709084,3451700
2009-09-08,117.940002,118.169998,116.629997,117.160004,88.482491,5797500
2009-09-09,117.029999,117.669998,116.160004,116.760002,88.180397,5248100
2009-09-10,116.989998,117.830002,116.750000,117.669998,88.867691,4889400
2009-09-11,117.800003,119.250000,117.470001,118.050003,89.154648,5893700
2009-09-14,117.000000,118.989998,116.940002,118.879997,89.781502,4758600
2009-09-15,118.779999,119.449997,118.160004,119.349998,90.136475,6536000
2009-09-16,119.500000,122.000000,119.300003,121.820000,92.001846,11236700
2009-09-17,121.139999,122.779999,121.050003,121.879997,92.047180,8392600
2009-09-18,122.449997,122.879997,121.620003,122.110001,92.220894,9935800
2009-09-21,121.029999,122.080002,120.879997,121.570000,91.813057,4515100
2009-09-22,122.089996,122.110001,120.980003,121.610001,91.843262,5564700
2009-09-23,121.260002,122.739998,120.709999,120.820000,91.246651,5538100
2009-09-24,120.690002,121.650002,120.400002,120.940002,91.337280,5426800
2009-09-25,120.269997,121.650002,120.099998,121.080002,91.443008,5187900
2009-09-28,120.519997,122.000000,118.940002,119.330002,90.121346,8248600
2009-09-29,119.360001,119.940002,118.599998,118.809998,89.728615,6748800
2009-09-30,119.180000,120.000000,117.550003,119.610001,90.332817,7733300
2009-10-01,119.389999,119.610001,117.559998,117.900002,89.041374,7067500
2009-10-02,117.400002,119.660004,117.260002,119.019997,89.887215,7581900
2009-10-05,118.900002,120.180000,118.129997,119.750000,90.438560,5673300
2009-10-06,120.389999,121.589996,120.220001,121.349998,91.646889,6659100
2009-10-07,121.120003,122.849998,120.940002,122.779999,92.726860,5872000
