,Cash balance,Portfolio value,Total asset,Returns,Cum Returns,CumReturns
2008-12-31,100000.0,0.0,100000.0,,,1.0
2009-01-02,99314.657596,695.436975,100010.09457100001,0.00010094571000007768,,1.00010094571
2009-01-05,98115.400621,1920.3634710000001,100035.764092,0.0002566693003351883,,1.0003576409200001
2009-01-06,96898.89888999998,3126.605769,100025.50465899998,-0.00010255765118738491,,1.00025504659
2009-01-07,96366.18697599997,3607.360638,99973.54761399997,-0.0005194379691174644,,0.9997354761399998
2009-01-08,95450.47431599996,4385.041454,99835.51576999997,-0.0013806836637721975,,0.9983551576999998
2009-01-09,95178.92403699996,4746.51519,99925.43922699997,0.0009007161059513269,,0.9992543922699998
2009-01-12,94224.50149899996,5599.953392,99824.45489099996,-0.0010105968688374212,,0.9982445489099997
2009-01-13,93284.72244299996,6367.100640000001,99651.82308299997,-0.0017293538761468108,,0.9965182308299998
2009-01-14,92727.43861299996,6833.525046,99560.96365899996,-0.0009117688085278353,,0.9956096365899997
2009-01-15,91820.01583299997,7584.845814,99404.86164699997,-0.0015679037874185564,,0.9940486164699998
2009-01-16,90721.23524499997,8832.966978,99554.20222299997,0.0015023468020138875,,0.9955420222299998
2009-01-20,89814.43824299997,9553.314495999999,99367.75273899996,-0.001872843936636337,,0.9936775273899996
2009-01-21,88821.25703499997,10324.843425000001,99146.10045999997,-0.0022306258609086083,,0.9914610045999998
2009-01-22,87849.33676799998,11439.387528,99288.72429599997,0.001438521891816924,,0.9928872429599996
2009-01-23,87214.01479799997,11989.959060000001,99203.97385799998,-0.0008535756562580987,,0.9920397385799997
2009-01-26,86148.58619399997,13361.759571000002,99510.34576499998,0.003088302767372264,,0.9951034576499996
2009-01-27,85061.15622599996,14475.441429,99536.59765499996,0.00026381066006919696,,0.9953659765499995
2009-01-28,84047.47379399998,16072.203553,100119.67734699998,0.005857942764137869,,1.0011967734699996
2009-01-29,82921.96379099997,17168.624747,100090.58853799998,-0.0002905403789823513,,1.0009058853799997
2009-01-30,81850.70330099999,17867.79228,99718.495581,-0.0037175618850389114,,0.9971849558099999
2009-02-02,80799.89419199999,18516.161200000002,99316.055392,-0.004035762740454696,,0.9931605539199999
2009-02-03,79865.815092,20144.637056,100010.45214800001,0.006991787513702885,,1.00010452148
2009-02-04,78758.559393,21167.892404,99926.451797,-0.0008399157207659158,,0.9992645179699998
2009-02-05,78077.49171,21338.321389,99415.813099,-0.0051101454001124536,,0.9941581309899998
2009-02-06,76994.61375299998,23159.608992,100154.22274499998,0.00742748686534056,,1.0015422274499997
2009-02-09,75924.441606,24798.965065,100723.40667099999,0.00568307466624951,,1.00723406671
2009-02-10,74780.77277999998,25525.244334000003,100306.01711399999,-0.004143918189377316,,1.0030601711399998
2009-02-11,73654.63943699999,25598.837177,99253.47661399998,-0.010493293725378106,,0.9925347661399997
2009-02-12,72665.69507599999,26346.996579,99012.69165499999,-0.0024259599483493766,,0.9901269165499997
2009-02-13,71589.11207899998,27847.295090000003,99436.40716899998,0.004279406073277814,,0.9943640716899996
2009-02-17,70554.94800799998,27943.323249,98498.27125699999,-0.009434531462963691,,0.9849827125699997
2009-02-18,69543.61159999997,28961.878287000003,98505.48988699997,7.328686999130696e-05,,0.9850548988699995
2009-02-19,68920.51512199997,29775.134172000002,98695.64929399997,0.0019304447621968368,,0.9869564929399994
2009-02-20,67849.51101799998,30057.431463,97906.94248099998,-0.007991302743756812,,0.9790694248099994
2009-02-23,66849.97057399998,31271.971762,98121.94233599998,0.0021959612827426866,,0.9812194233599992
2009-02-24,65820.25028,30431.525548,96251.775828,-0.01905961565249037,,0.9625177582799994
2009-02-25,64820.25225199999,32111.135212,96931.387464,0.007060769841945147,,0.9693138746399995
2009-02-26,63801.26253199999,33173.256664,96974.519196,0.0004449717798171715,,0.9697451919599995
2009-02-27,62779.509668,31989.41628,94768.925948,-0.022744049326423155,,0.9476892594799996
2009-03-02,61819.076972,32586.991348000003,94406.06832,-0.0038288671562987098,,0.9440606831999996
2009-03-03,60891.419634,32519.753028,93411.172662,-0.010538471474394018,,0.9341117266199994
2009-03-04,59988.859017999996,33876.885956000006,93865.744974,0.0048663591200683864,,0.9386574497399994
2009-03-05,59050.652425,34836.151651,93886.804076,0.000224353431657498,,0.9388680407599995
2009-03-06,58105.758453999995,35252.797598000005,93358.556052,-0.0056264352503935244,,0.9335855605199995
